Category,TransactionAmount,AnomalyScore,Timestamp,Amount,AccountBalance,LastLogin,SuspiciousFlag,Hour
Travel,61.030450747630056,0.0365564379848128,2022-01-04 15:00:00,35.601241841950866,9467.31225148779,2024-06-04,0,15
Retail,77.76328614592758,0.4402907533266011,2022-01-04 16:00:00,26.00722367933592,4962.283526863032,2022-03-12,0,16
Retail,49.16020343383616,0.0002337072005655,2022-01-04 17:00:00,85.36034193563887,8710.760047285832,2024-09-01,0,17
Online,70.28777110281193,0.5325805700018359,2022-01-04 18:00:00,48.09673926087099,9885.267204374808,2023-12-27,0,18
Food,33.838420642486625,0.1103865196909265,2022-01-04 19:00:00,29.03410939854033,8804.517944437239,2023-03-11,0,19
Travel,49.22333118633592,0.190179868627074,2022-01-04 20:00:00,98.14685940247114,7560.730128542115,2023-11-15,0,20
Travel,85.86740383135798,0.4604078745218216,2022-01-04 21:00:00,79.77488953148558,5042.199848161743,2022-10-04,0,21
Other,72.2881408132906,0.6351498923024964,2022-01-04 22:00:00,50.39592040108388,2077.514821107271,2024-04-07,0,22
Retail,26.196351691755417,0.495002454686524,2022-01-04 23:00:00,98.5026858539832,2569.1292344962367,2023-04-11,0,23
Other,90.0778270615524,0.3040718787901955,2022-01-05 00:00:00,18.16684546592576,5101.105372122595,2024-07-10,0,0
Other,21.11119366756257,0.291574943975321,2022-01-05 01:00:00,55.88720399193835,7149.964405144897,2022-07-02,0,1
Online,15.152685241543288,0.2419476642350824,2022-01-05 02:00:00,76.84342858021311,9510.171443616422,2024-05-15,0,2
Other,94.0073412618988,0.3374859941376362,2022-01-05 03:00:00,13.097222776355888,2045.0579963089228,2023-05-29,0,3
Food,88.98436112503889,0.9603976293466876,2022-01-05 04:00:00,58.92390637798005,9545.47486907634,2022-01-23,0,4
Online,97.48688179907796,0.2645800599183321,2022-01-05 05:00:00,61.65899469709107,2706.148887561668,2022-01-12,0,5
Retail,83.76810174234359,0.3332819881973068,2022-01-05 06:00:00,12.458635265316776,7900.2424003291135,2023-08-08,0,6
Travel,93.56933968320736,0.3398523619032424,2022-01-05 07:00:00,16.651042272403856,6131.253862602764,2024-07-02,0,7
Other,39.7071103789509,0.2223044794557515,2022-01-05 08:00:00,64.1798875377491,8722.686489131847,2024-09-05,0,8
Travel,54.89026403662322,0.4215635124057515,2022-01-05 09:00:00,13.915099886609262,2240.517799293388,2024-09-21,0,9
Online,85.92834801769118,0.3664545518768669,2022-01-05 10:00:00,58.084975288492096,8430.98651867882,2022-12-25,0,10
Online,64.58967531386853,0.8913273664664983,2022-01-05 11:00:00,96.8105858612092,7085.442721000245,2023-09-01,0,11
Food,66.51437179940578,0.7824277459451286,2022-01-05 12:00:00,48.737959254294935,5588.049941710766,2024-03-06,0,12
Other,57.44211218746886,0.0063315156706293,2022-01-05 13:00:00,44.24378825471623,3046.120484791152,2023-11-16,0,13
Retail,10.625085325396435,0.6864802438144277,2022-01-05 14:00:00,22.586047991269297,3454.6485309782306,2024-08-18,0,14
Other,21.310132757865613,0.290569092728993,2022-01-05 15:00:00,40.47944601842122,1783.739009166993,2024-01-10,0,15
Online,31.089658414406184,0.3787730482978894,2022-01-05 16:00:00,74.4439571243902,4018.773274033155,2024-04-15,0,16
Travel,97.86479106596292,0.8384719464730573,2022-01-05 17:00:00,77.57986716270221,7450.419004134611,2022-04-30,0,17
Retail,20.93135754622178,0.8548717198256173,2022-01-05 18:00:00,40.63979180497972,9319.481714172363,2024-04-20,0,18
Food,84.66984069219563,0.4309100079096375,2022-01-05 19:00:00,62.921911545133966,1111.7721667693309,2024-07-18,0,19
Travel,75.34393386371227,0.8626867847533091,2022-01-05 20:00:00,43.7036374245612,7025.452026763664,2023-02-27,0,20
Retail,31.029962233485527,0.9230146888184372,2022-01-05 21:00:00,56.60485656715164,7192.646432329213,2023-07-29,0,21
Retail,19.527907375407104,0.8521427323660469,2022-01-05 22:00:00,17.72987462635209,8473.630815815763,2024-02-19,0,22
Retail,82.48672259028618,0.0428071189562689,2022-01-05 23:00:00,68.83486745284134,9728.588504180754,2024-06-12,0,23
Retail,95.08638384399995,0.7459715350697309,2022-01-06 00:00:00,32.34210737065556,1883.4867347636705,2022-08-28,0,0
Retail,48.77567691066048,0.5893665589856495,2022-01-06 01:00:00,87.56655197793899,4121.316624748486,2022-06-16,0,1
Other,76.92373657516502,0.269505804949578,2022-01-06 02:00:00,70.83894725546456,8773.956940488475,2022-11-26,1,2
Travel,52.738703327766736,0.4136975064344618,2022-01-06 03:00:00,26.529790933426444,4631.532991706319,2022-06-20,0,3
Retail,83.10764958693693,0.7920798620894777,2022-01-06 04:00:00,88.20456750327392,3334.187888384263,2024-01-19,0,4
Other,60.02616890446173,0.407731665515309,2022-01-06 05:00:00,55.20289159939914,8363.065543345401,2022-03-10,0,5
Other,89.72536824864176,0.5470065298001408,2022-01-06 06:00:00,55.48555001123924,6363.937936403128,2023-07-23,0,6
Food,83.8883819694083,0.6487036898380295,2022-01-06 07:00:00,39.19964508295418,1947.17341955263,2023-06-21,0,7
Food,93.2420611636587,0.8657397106795307,2022-01-06 08:00:00,49.87286889896349,6441.933112929328,2023-03-01,0,8
Other,53.74615541333524,0.6067478301246536,2022-01-06 09:00:00,12.473355037269908,2854.1866227984992,2024-01-31,0,9
Other,43.06404676353721,0.5439223502745882,2022-01-06 10:00:00,75.99253650342669,8017.715824154072,2023-04-03,0,10
Food,27.32178111362836,0.1944314454446276,2022-01-06 11:00:00,65.03159710701489,7925.082131230957,2023-08-11,0,11
Retail,74.31939247105099,0.0507840812114911,2022-01-06 12:00:00,92.36972521780169,5724.611458231782,2023-02-22,0,12
Food,81.10453304374346,0.6752844762825353,2022-01-06 13:00:00,33.800957892074884,4661.555925923707,2022-10-26,0,13
Travel,51.28972617484501,0.3518120629599117,2022-01-06 14:00:00,14.56451519624522,8603.321935277745,2024-04-01,0,14
Travel,76.33022876630817,0.6862647854532525,2022-01-06 15:00:00,70.85855068793218,7273.982375653035,2022-06-01,0,15
Other,82.1851437672511,0.166292052708713,2022-01-06 16:00:00,80.77316169978734,4096.117607307247,2023-10-29,0,16
Online,68.07165652135744,0.107425555785323,2022-01-06 17:00:00,39.8254029895631,4490.144010455546,2023-10-31,0,17
Online,97.73176014092073,0.0653463606382471,2022-01-06 18:00:00,12.184601872547413,4020.714312343048,2022-06-18,0,18
Travel,44.4059707359975,0.7817590190058886,2022-01-06 19:00:00,36.9412542954954,5541.197921465388,2023-07-28,0,19
Retail,46.56716357207259,0.671085348147031,2022-01-06 20:00:00,61.41387641863861,3797.734535980661,2022-01-19,0,20
Other,50.497451261542906,0.5218400263257464,2022-01-06 21:00:00,74.95521382139967,5179.000965050205,2022-01-17,0,21
Online,73.01484256366689,0.0083915576541542,2022-01-06 22:00:00,86.47644806653052,7476.989180248455,2022-05-30,0,22
Online,70.58921223632976,0.2643047451700305,2022-01-06 23:00:00,44.586046124582026,2934.8098384758123,2022-03-28,0,23
Online,18.760393793572423,0.7695243691162444,2022-01-07 00:00:00,45.94470335816509,4396.07692646077,2022-05-09,0,0
Food,33.87159912261558,0.0963849867089952,2022-01-07 01:00:00,86.17240478756997,6737.496077516889,2022-08-22,0,1
Travel,93.62801307167632,0.5907825622817242,2022-01-07 02:00:00,19.688496513147165,9784.73655418159,2022-04-22,0,2
Online,78.51656294055846,0.5996910725465628,2022-01-07 03:00:00,79.52197137501955,8979.728844071804,2022-03-07,0,3
Travel,13.740115016215762,0.0769873880028959,2022-01-07 04:00:00,10.863844969173988,6550.062414282284,2023-08-21,0,4
Other,35.76256757704117,0.9827270365132578,2022-01-07 05:00:00,15.24013555293646,7288.036637655037,2022-04-27,0,5
Retail,91.20674786727866,0.6983944973107784,2022-01-07 06:00:00,46.265651867845264,9253.478916937507,2022-11-07,0,6
Travel,67.72998285604584,0.7864850345761688,2022-01-07 07:00:00,10.64214063364256,9148.652758711904,2024-09-24,0,7
Online,23.84789057823815,0.8608939744740778,2022-01-07 08:00:00,40.52631372440093,7347.086686903932,2022-05-03,0,8
Online,23.19675309370517,0.0363253594047917,2022-01-07 09:00:00,55.74925986254664,6405.360523608859,2022-04-08,0,9
Retail,55.12309145953811,0.152484889271127,2022-01-07 10:00:00,80.68702881549353,4018.773274033155,2024-04-15,0,10
Retail,92.42444949008308,0.195162305471047,2022-01-07 11:00:00,58.78105340124304,7080.103438619933,2022-05-06,0,11
Online,60.54514510210061,0.7535838037722454,2022-01-07 12:00:00,93.21260497318085,7588.2826264097375,2022-04-15,0,12
Food,58.13885000694888,0.0013112357995281,2022-01-07 13:00:00,48.93431687421971,5302.392311164256,2023-09-26,0,13
Other,49.28997754079705,0.0686108170259279,2022-01-07 14:00:00,75.84896970201633,1824.800520598792,2024-02-07,0,14
Food,20.433902723174075,0.799903050684708,2022-01-07 15:00:00,99.24329385724016,9084.791658545855,2022-09-28,0,15
Travel,34.28799621000191,0.8128326048241296,2022-01-07 16:00:00,97.62385249068704,4805.27779551589,2024-07-23,0,16
Retail,93.90980107812352,0.1303453119881498,2022-01-07 17:00:00,68.36222224178091,9674.062164262285,2023-10-28,0,17
Online,62.2966821251412,0.8961648984302398,2022-01-07 18:00:00,52.7405583765616,1236.384945903017,2023-05-10,0,18
Other,21.200385624323307,0.3292528457660703,2022-01-07 19:00:00,88.75728850172628,4575.52247121944,2024-09-08,0,19
Food,39.62416222970549,0.063965262052487,2022-01-07 20:00:00,70.65807372432405,4843.2904163743615,2022-05-07,0,20
Travel,94.98701866123818,0.1729678782624287,2022-01-07 21:00:00,16.560396381973245,3712.1659095755263,2023-03-13,0,21
Travel,70.949036627234,0.9579481005143656,2022-01-07 22:00:00,36.87248196812679,9855.674627837716,2022-05-25,0,22
Online,65.07165073329853,0.8398890363857324,2022-01-07 23:00:00,37.97774880715161,4219.355106273666,2023-04-22,0,23
Other,87.84367671643805,0.6381432315674004,2022-01-08 00:00:00,37.40762141397819,7941.847202444381,2023-12-28,0,0
Other,96.1462465106588,0.4297705660959885,2022-01-08 01:00:00,27.459895442013668,2249.6838410311507,2022-12-31,1,1
Retail,91.1933076822215,0.4491231704158719,2022-01-08 02:00:00,16.468824479692067,8704.182255178053,2022-08-27,0,2
Travel,98.62431306543851,0.4188655842737862,2022-01-08 03:00:00,95.81318706963296,6987.997844391333,2023-02-26,0,3
Online,69.26898129140069,0.9566960542981932,2022-01-08 04:00:00,63.47667766306569,6121.739350549565,2022-03-30,0,4
Retail,38.39751063654201,0.7962993717062002,2022-01-08 05:00:00,97.0655205171012,8827.782392877409,2023-02-11,0,5
Online,72.0767151531791,0.3578208959090809,2022-01-08 06:00:00,13.592210306686386,8198.17833915617,2022-08-21,0,6
Online,23.16580918170286,0.3581691063319129,2022-01-08 07:00:00,18.04295485910775,8007.840813445351,2023-04-19,0,7
Other,96.99742620925753,0.3663305510153918,2022-01-08 08:00:00,57.400809663920754,4450.429068562766,2022-02-28,0,8
Online,75.17795368204465,0.4797418085390359,2022-01-08 09:00:00,91.89645670792092,7604.03581291833,2023-08-19,0,9
Food,71.27729966536388,0.8059953499461918,2022-01-08 10:00:00,67.30165835468443,6631.372808065945,2024-03-10,0,10
Food,73.50579664763814,0.4466950064139259,2022-01-08 11:00:00,79.45616782324659,7288.036637655037,2022-04-27,0,11
Other,95.81512850727324,0.1480582852993029,2022-01-08 12:00:00,74.59376570121384,4483.156300402189,2023-07-02,0,12
Travel,18.852697182192355,0.7304494846487675,2022-01-08 13:00:00,90.0500458660583,2169.4259351690243,2022-03-25,0,13
Online,13.294878186725366,0.966645463514096,2022-01-08 14:00:00,71.65549550773102,7962.41027548533,2023-08-14,0,14
Retail,70.84194087334146,0.9345265989340056,2022-01-08 15:00:00,76.74484865313467,6166.294345881851,2022-04-17,0,15
Online,29.797542175411586,0.8713778981354636,2022-01-08 16:00:00,30.73140745162662,3495.320360122715,2023-03-25,0,16
Online,10.976063792987292,0.0887224891439055,2022-01-08 17:00:00,13.94613717842646,9255.451757215444,2024-09-23,0,17
Retail,30.62781389727033,0.3804867275873326,2022-01-08 18:00:00,86.27614397676666,4886.010824613629,2024-04-04,0,18
Other,86.27039905960704,0.5997076288705414,2022-01-08 19:00:00,39.15191297159039,7085.442721000245,2023-09-01,0,19
Food,90.69366945616191,0.0525841195764624,2022-01-08 20:00:00,63.75541221221678,8557.608088738338,2023-03-15,0,20
Travel,97.45799845652886,0.1324130798457156,2022-01-08 21:00:00,13.936656978315106,4998.111232701779,2022-05-02,0,21
Retail,94.26044567659616,0.28161699231222,2022-01-08 22:00:00,39.27911887178642,6808.655941809088,2023-06-26,0,22
Retail,65.20547785019431,0.0361401268487941,2022-01-08 23:00:00,61.29285089639624,1795.3282266181373,2022-01-24,0,23
Food,58.92672040602855,0.9644991055160976,2022-01-09 00:00:00,61.5850254830433,8924.92531736286,2024-03-14,0,0
Travel,81.998406792034,0.1764083665963066,2022-01-09 01:00:00,25.807626781009997,1417.6911109990574,2023-01-29,0,1
Food,46.79083873431522,0.829296851161239,2022-01-09 02:00:00,60.1627950076116,7515.21069536373,2023-01-12,0,2
Travel,11.414754823886248,0.1556446845128487,2022-01-09 03:00:00,73.95115480743799,2424.450317394157,2024-05-09,0,3
Retail,39.746571370799046,0.7831297143194322,2022-01-09 04:00:00,41.600666147750765,4265.273573478986,2022-01-22,0,4
Online,69.42652625711786,0.4507371718071249,2022-01-09 05:00:00,77.50218977872183,8662.854278923118,2023-08-22,1,5
Retail,74.8024137001501,0.3540911370424252,2022-01-09 06:00:00,60.700759795200256,3183.466494213557,2022-10-08,0,6
Online,11.135024291276173,0.6543579686540659,2022-01-09 07:00:00,10.867087743046213,4220.470748699525,2023-07-03,0,7
Other,78.7926566816262,0.0924698674989543,2022-01-09 08:00:00,78.69908198812801,5160.483332414382,2022-08-25,0,8
Online,73.35801855325286,0.8635439599431781,2022-01-09 09:00:00,13.562991257277996,6631.372808065945,2024-03-10,0,9
Retail,19.79428898571563,0.6459808078950701,2022-01-09 10:00:00,61.40287558718099,4121.316624748486,2022-06-16,0,10
Online,52.57391797925766,0.1032059291351714,2022-01-09 11:00:00,68.40522340995258,4091.6780540746336,2023-07-13,0,11
Travel,87.946838800399,0.7811165111485706,2022-01-09 12:00:00,59.45638923887482,7695.154348220063,2024-02-03,0,12
Travel,45.34907934754776,0.3867848646906189,2022-01-09 13:00:00,94.570751399094,6746.988789784419,2022-05-04,0,13
Other,49.02599806311397,0.2741100007272282,2022-01-09 14:00:00,81.56433192297125,8403.77366742826,2022-04-05,1,14
Travel,76.7891524120786,0.3144079950434221,2022-01-09 15:00:00,58.42056072628485,5729.012454195284,2023-11-21,0,15
Food,57.25912840477829,0.2883373503010789,2022-01-09 16:00:00,48.04486290773334,8430.98651867882,2022-12-25,0,16
Other,21.239305903956133,0.3227980839253159,2022-01-09 17:00:00,27.51230202452078,8091.736701622896,2022-01-26,0,17
Online,79.3765145476943,0.970049124736776,2022-01-09 18:00:00,67.03130270994141,7604.03581291833,2023-08-19,0,18
Other,52.47637817645349,0.8581859979634036,2022-01-09 19:00:00,78.56207411278741,5745.0882908674,2023-05-21,0,19
Food,75.32893871990358,0.4463273030715393,2022-01-09 20:00:00,81.95667521729543,7649.649301190314,2022-08-07,0,20
Travel,76.76865855547618,0.1168631146102391,2022-01-09 21:00:00,66.22278769805163,7085.442721000245,2023-09-01,0,21
Online,87.13835924679432,0.2473200050082087,2022-01-09 22:00:00,43.288425940630695,4384.800511892174,2024-02-27,0,22
Retail,33.346974587766816,0.0498583601810919,2022-01-09 23:00:00,91.44727683785102,4674.919670572002,2022-11-16,0,23
Travel,79.684500917319,0.4855999522759509,2022-01-10 00:00:00,98.68616371418082,7405.683379172114,2022-07-13,0,0
Online,21.68077849155916,0.0865758331665561,2022-01-10 01:00:00,84.03821814533373,2137.201056640595,2023-01-22,1,1
Online,78.78591569653737,0.8576199416102118,2022-01-10 02:00:00,26.705903742573543,4206.199489908408,2023-01-16,0,2
Online,66.7376965174679,0.3073939306775677,2022-01-10 03:00:00,95.66715462171436,9545.47486907634,2022-01-23,0,3
Food,47.443041935154895,0.210648526054667,2022-01-10 04:00:00,53.84797949558436,5713.487344025388,2022-10-19,0,4
Online,17.36876575850654,0.0590292986848037,2022-01-10 05:00:00,67.7566473614084,2262.489051602548,2023-07-10,0,5
Travel,56.889921501141245,0.0177160412981203,2022-01-10 06:00:00,68.86554660517089,5058.355132932252,2023-09-08,0,6
Retail,22.120892689336657,0.681498050466276,2022-01-10 07:00:00,32.334368575520536,1384.6666740901055,2023-10-08,0,7
Food,41.46857357472534,0.9854105185705414,2022-01-10 08:00:00,87.0159324540077,3302.010949050849,2023-11-09,1,8
Food,13.871281828809789,0.7622048594652203,2022-01-10 09:00:00,34.528113601375296,2394.859954484713,2024-08-07,0,9
Travel,29.67925462704473,0.9392161655993088,2022-01-10 10:00:00,72.13258352324524,2240.517799293388,2024-09-21,0,10
Online,10.9730234023345,0.1883338580116202,2022-01-10 11:00:00,55.797695917609126,2989.8192667071926,2023-05-07,0,11
Other,94.0622960105692,0.2589414407353841,2022-01-10 12:00:00,26.44706544020341,4381.287524149841,2023-01-30,1,12
